course_id,name,school,difficulty,duration_h,popularity,avg_rating,total_students
CRS-057,Productividad Personal,SoftSkills,Basico,4,0.8,4.2,1900
CRS-058,Marca Personal,SoftSkills,Basico,6,0.75,4.3,1787
CRS-059,AWS Cloud Practitioner,Cloud,Basico,10,0.8,4.3,1480
CRS-060,AWS Solutions Architect,Cloud,Avanzado,20,0.6,4.0,1186
CRS-061,Docker y Contenedores,Cloud,Intermedio,8,0.72,4.0,1352
CRS-062,Kubernetes,Cloud,Avanzado,14,0.55,3.9,901
CRS-063,Google Cloud Fundamentals,Cloud,Basico,8,0.68,4.1,1289
CRS-064,Fundamentos de Ciberseguridad,Ciberseguridad,Basico,8,0.78,4.1,1189
CRS-065,Ethical Hacking,Ciberseguridad,Avanzado,18,0.62,4.0,783
CRS-066,Redes y Protocolos,Ciberseguridad,Intermedio,10,0.65,4.3,1117
CRS-067,OWASP Top 10,Ciberseguridad,Avanzado,12,0.58,3.9,892
CRS-068,E-commerce con Shopify,Ecommerce,Basico,8,0.72,4.5,888
CRS-069,Estrategia de E-commerce,Ecommerce,Intermedio,8,0.65,4.2,964
CRS-070,Ventas por Internet,Ecommerce,Basico,6,0.68,4.2,741
CRS-071,Unity para Videojuegos,Videojuegos,Intermedio,16,0.58,4.2,509
CRS-072,C# para Videojuegos,Videojuegos,Intermedio,12,0.55,4.3,402
CRS-073,Diseno de Niveles,Videojuegos,Basico,8,0.62,4.3,591
CRS-074,Inversiones para Principiantes,Finanzas,Basico,8,0.75,4.5,1367
CRS-075,Finanzas Personales,Finanzas,Basico,6,0.8,3.9,1399
CRS-076,Criptomonedas y Blockchain,Finanzas,Intermedio,8,0.68,4.2,1221
CRS-077,Produccion con Adobe Premiere,Audiovisual,Intermedio,12,0.65,4.1,566
CRS-078,Fotografia Profesional,Audiovisual,Basico,8,0.7,4.3,683
CRS-079,Calculo para Data Science,Matematicas,Intermedio,10,0.6,4.1,542
CRS-080,Fundamentos de Matematicas,Matematicas,Basico,8,0.65,4.0,568
CRS-081,Django REST Framework,Web,Avanzado,16,0.58,3.9,5142
CRS-082,Tableau para Analisis de Datos,DataSci,Basico,8,0.67,4.4,5225
CRS-083,Flutter y Dart,Programacion,Intermedio,14,0.52,4.3,4214
