student_id,pais,edad,genero,plan,escuela_principal,dispositivo_principal,objetivo_estudiante,nivel_educativo,experiencia_tech_anios,meses_suscrito,tipo_pago,dias_para_renovacion,intentos_pago_fallidos,fecha_registro,dias_en_gratuito_antes_pago,cursos_inscritos,tasa_completado,cursos_completados,certificados_obtenidos,rutas_inscritas,rutas_completadas,examenes_ruta_aprobados,interes_Prog,interes_DataSci,interes_Web,interes_Ingles,interes_Marketing,interes_Diseno,interes_Gestion,interes_SoftSkills,interes_Cloud,interes_Otros,dias_desde_ultimo_login,dias_desde_ultima_clase,sesiones_ultimo_mes,horas_vistas_total,horas_vistas_ultimo_mes,promedio_clases_semana,horas_semana_1,horas_semana_2,horas_semana_3,horas_semana_4,variacion_sesiones_vs_mes_anterior,racha_dias_maxima,racha_dias_actual,liveclasses_asistidas,hora_pico_uso,preguntas_en_foro,respuestas_en_foro,upvotes_recibidos,tutoriales_publicados,platzi_rank,nivel_rewards,tickets_soporte,dias_resolucion_promedio,nps_score,churn
PLZ-00017,México,24,No especifica,Expert,Escuela de Ingles,Desktop,Aprender por curiosidad,Universitario en curso,2,1,Anual,312.0,0,2024-12-08,34,9,0.56,5,3,0,0,0,0.47,0.23,0.53,0.35,0.29,0.23,0.33,0.13,0.06,0.06,18,21,6,81,13,3.2,3.8,3.8,3.1,2.1,-3.0,15,0,5,21,1,7,12,0,213,Estandar,1,4.2,9.0,1
PLZ-00018,Colombia,24,Masculino,Basic,Escuela de Diseno Grafico,Mobile,Freelance / proyectos propios,Universitario completo,3,1,Mensual,14.0,0,2022-06-24,37,3,0.49,1,0,3,1,0,0.24,0.34,0.18,0.14,0.36,0.27,0.17,0.26,0.65,0.04,1,12,2,16,6,1.5,1.6,0.8,1.3,1.1,-1.5,17,16,3,20,2,6,22,0,605,Estandar,1,5.2,3.0,0
PLZ-00019,Colombia,25,Femenino,Expert Family,Escuela de Desarrollo Web,Mobile,Emprender startup,Universitario completo,0,9,Anual,49.0,0,2024-06-19,0,23,0.33,7,5,1,0,0,0.45,0.16,0.02,0.12,0.7,0.35,0.53,0.27,0.03,0.11,5,8,13,133,6,1.5,1.5,1.2,1.8,2.2,-0.1,1,0,0,12,1,7,17,0,578,Estandar,1,5.2,5.0,0
PLZ-00020,México,30,Femenino,Expert,Escuela de Videojuegos,Desktop,Conseguir empleo tech,Secundaria,10,12,Anual,302.0,0,2024-03-15,85,9,0.38,3,2,3,1,0,0.05,0.72,0.25,0.04,0.02,0.31,0.13,0.13,0.18,0.19,25,36,9,61,16,4.0,2.2,3.4,3.0,5.5,-1.6,2,0,6,19,1,9,33,0,767,Estandar,1,6.9,9.0,0
PLZ-00021,Argentina,34,Masculino,Expert Family,Escuela de Programacion y Software,Mobile,Conseguir empleo tech,Universitario completo,2,13,Anual,71.0,0,2023-05-04,13,27,0.32,8,7,0,0,0,0.01,0.47,0.28,0.14,0.52,0.53,0.42,0.28,0.34,0.02,16,19,28,108,10,2.5,1.4,3.5,2.9,1.5,-0.7,5,0,8,15,4,5,16,0,436,Estandar,0,0.0,6.0,1
PLZ-00022,México,23,Femenino,Gratuito,Escuela de E-commerce y Negocios Digitales,Desktop,Conseguir empleo tech,Universitario completo,1,1,Sin_suscripcion,-1.0,0,2024-10-26,21,2,0.04,0,0,1,0,0,0.1,0.1,0.25,0.27,0.06,0.02,0.2,0.39,0.21,0.05,66,66,3,9,0,0.0,0.0,0.0,0.0,0.0,-3.9,4,0,0,20,3,4,11,0,60,Estandar,2,6.2,1.0,1
PLZ-00023,México,29,Masculino,Expert,Escuela de Programacion y Software,Mobile,Conseguir empleo tech,Universitario en curso,7,11,Anual,2.0,0,2023-07-08,19,12,0.47,5,4,2,0,0,0.17,0.05,0.03,0.12,0.34,0.16,0.21,0.23,0.2,0.05,38,40,2,60,1,0.2,0.0,0.0,0.0,0.0,-8.4,11,0,0,21,6,5,18,0,409,Estandar,1,2.2,9.0,0
PLZ-00024,México,26,Femenino,Expert,Escuela de Videojuegos,Desktop,Conseguir empleo tech,Secundaria,0,10,Anual,323.0,3,2023-06-12,39,12,0.18,2,1,3,0,0,0.14,0.29,0.26,0.05,0.37,0.25,0.26,0.47,0.36,0.11,8,9,3,52,15,3.8,4.0,4.4,2.3,2.4,0.5,25,0,9,1,2,3,7,0,243,Estandar,1,2.2,8.0,1
PLZ-00025,Colombia,30,Masculino,Expert,Escuela de Desarrollo Web,Mobile,Freelance / proyectos propios,Universitario completo,0,9,Cuotas x4,62.0,0,2023-12-29,52,9,0.21,1,0,1,0,0,0.03,0.19,0.4,0.18,0.09,0.63,0.31,0.01,0.2,0.01,3,4,13,49,23,5.8,4.2,6.3,6.5,4.5,-0.5,1,0,6,8,2,12,31,0,286,Estandar,1,2.1,9.0,0
PLZ-00026,Perú,36,Masculino,Expert Duo,Escuela de Soft Skills,Desktop,Conseguir empleo tech,Posgrado,3,1,Anual,336.0,0,2022-03-14,38,17,0.11,1,0,0,0,0,0.16,0.16,0.11,0.06,0.28,0.14,0.32,0.2,0.36,0.58,6,12,13,77,23,5.8,6.6,5.3,7.3,6.1,1.9,10,0,5,18,5,7,7,0,120,Estandar,1,5.5,10.0,0
PLZ-00027,México,25,Femenino,Gratuito,Escuela de Marketing Digital,Desktop,Ascender en trabajo actual,Secundaria,2,5,Sin_suscripcion,-1.0,0,2022-03-08,5,1,0.31,0,0,1,0,0,0.27,0.2,0.59,0.29,0.17,0.18,0.49,0.22,0.32,0.41,7,7,6,4,2,0.5,0.7,0.7,0.3,0.7,-3.7,16,0,0,2,1,7,4,0,225,Estandar,1,4.0,2.0,0
PLZ-00028,Colombia,16,Femenino,Gratuito,Escuela de Programacion y Software,Tablet,Conseguir empleo tech,Posgrado,5,1,Sin_suscripcion,-1.0,0,2023-08-16,30,2,0.03,0,0,0,0,0,0.03,0.02,0.11,0.23,0.25,0.2,0.37,0.08,0.11,0.06,196,200,0,5,0,0.0,0.0,0.0,0.0,0.0,-8.3,1,0,0,18,1,2,6,0,28,Estandar,0,0.0,7.0,1
PLZ-00029,Argentina,31,Masculino,Expert,Escuela de E-commerce y Negocios Digitales,Desktop,Freelance / proyectos propios,Universitario en curso,0,3,Anual,67.0,0,2022-01-27,16,4,0.31,1,0,4,1,0,0.11,0.06,0.09,0.27,0.06,0.1,0.26,0.04,0.11,0.15,4,5,10,17,2,0.5,0.5,0.7,0.7,0.6,1.7,3,0,5,22,1,6,12,0,667,Estandar,1,1.6,10.0,1
PLZ-00030,México,22,Masculino,Gratuito,Escuela de Data Science e Inteligencia Artificial,Mobile,Cambiar de carrera,Posgrado,2,2,Sin_suscripcion,-1.0,0,2023-07-30,14,3,0.21,0,0,1,0,0,0.33,0.05,0.13,0.15,0.18,0.01,0.3,0.12,0.12,0.26,19,23,1,12,9,2.2,2.7,3.1,2.6,2.7,0.8,10,0,0,3,3,5,3,0,81,Estandar,0,0.0,9.0,0
PLZ-00031,Argentina,26,Masculino,Expert Family,Escuela de Data Science e Inteligencia Artificial,Desktop,Ascender en trabajo actual,Universitario completo,1,8,Anual,214.0,0,2023-03-10,169,28,0.61,17,16,2,1,0,0.06,0.13,0.19,0.31,0.24,0.59,0.48,0.34,0.34,0.04,11,17,19,212,14,3.5,4.6,3.4,3.0,4.7,4.1,9,0,4,6,1,2,4,0,1020,Estandar,1,5.2,9.0,0
PLZ-00032,México,31,Femenino,Gratuito,Escuela de Gestion y Liderazgo,Desktop,Ascender en trabajo actual,Posgrado,5,1,Sin_suscripcion,-1.0,0,2022-02-25,35,1,0.59,0,0,2,1,1,0.06,0.07,0.74,0.03,0.4,0.54,0.18,0.06,0.26,0.56,12,21,2,1,1,0.2,0.3,0.2,0.2,0.2,-1.8,33,0,0,22,4,5,12,0,776,Estandar,1,5.7,5.0,0
PLZ-00033,México,28,Femenino,Expert,Escuela de Programacion y Software,Mobile,Ascender en trabajo actual,Universitario completo,1,5,Cuotas x4,57.0,1,2022-09-24,19,4,0.35,1,0,2,0,0,0.23,0.25,0.21,0.09,0.05,0.31,0.3,0.09,0.08,0.22,18,18,4,20,6,1.5,1.4,1.5,1.8,1.7,3.6,5,0,3,20,3,5,9,0,180,Estandar,4,3.7,10.0,1
PLZ-00034,Bolivia,26,Femenino,Gratuito,Escuela de Data Science e Inteligencia Artificial,Desktop,Aprender por curiosidad,Secundaria,2,4,Sin_suscripcion,-1.0,0,2024-02-08,61,3,0.09,0,0,4,0,0,0.1,0.2,0.25,0.03,0.44,0.38,0.05,0.05,0.56,0.36,13,17,4,7,3,0.8,0.7,1.1,0.7,1.0,-2.3,3,0,0,14,5,4,11,0,114,Estandar,1,2.6,8.0,0
PLZ-00035,Guatemala,23,Masculino,Expert,Escuela de Desarrollo Web,Mobile,Conseguir empleo tech,Secundaria,5,48,Anual,211.0,0,2023-07-03,30,9,0.28,2,1,3,0,0,0.19,0.15,0.48,0.25,0.29,0.31,0.51,0.1,0.16,0.48,9,11,8,45,9,2.2,3.1,2.5,2.6,1.3,-0.8,13,0,2,11,4,3,2,0,1773,Pro,2,1.9,9.0,0
PLZ-00036,Chile,16,Femenino,Basic,Escuela de Soft Skills,Desktop,Cambiar de carrera,Universitario completo,7,1,Mensual,24.0,0,2022-04-11,17,3,0.13,0,0,2,0,0,0.22,0.11,0.21,0.05,0.18,0.12,0.03,0.07,0.44,0.17,8,19,3,5,5,1.2,1.0,1.0,1.4,1.5,0.8,1,0,3,17,6,7,21,0,95,Estandar,0,0.0,4.0,1
PLZ-00037,México,31,Masculino,Gratuito,Escuela de Programacion y Software,Desktop,Ascender en trabajo actual,Tecnico,5,1,Sin_suscripcion,-1.0,0,2023-10-07,11,1,0.21,0,0,2,0,0,0.12,0.21,0.46,0.28,0.06,0.34,0.26,0.11,0.28,0.06,35,36,0,2,0,0.0,0.0,0.0,0.0,0.0,-3.5,5,0,0,18,2,3,6,0,55,Estandar,1,6.1,5.0,0
PLZ-00038,México,25,Femenino,Basic,Escuela de Desarrollo Web,Mobile,Conseguir empleo tech,Universitario completo,2,1,Mensual,8.0,0,2023-04-13,24,2,0.51,1,0,1,0,0,0.03,0.31,0.25,0.13,0.7,0.09,0.29,0.04,0.28,0.13,2,9,5,12,12,3.0,1.9,3.7,1.6,3.7,0.4,21,0,6,11,6,4,8,0,110,Estandar,3,1.4,9.0,0
PLZ-00039,Argentina,36,Masculino,Basic,Escuela de Marketing Digital,Desktop,Cambiar de carrera,Posgrado,3,3,Mensual,1.0,0,2022-01-23,14,2,0.35,0,0,0,0,0,0.42,0.1,0.18,0.18,0.01,0.3,0.45,0.31,0.41,0.23,34,44,2,7,0,0.0,0.0,0.0,0.0,0.0,-5.5,1,0,0,4,3,3,5,0,136,Estandar,0,0.0,9.0,1
PLZ-00040,Colombia,29,Masculino,Expert Family,Escuela de Soft Skills,Desktop,Emprender startup,Universitario en curso,3,4,Cuotas x4,103.0,1,2023-11-28,11,21,0.36,7,5,1,0,0,0.3,0.15,0.33,0.02,0.3,0.27,0.35,0.08,0.08,0.34,1,13,17,108,12,3.0,3.7,2.6,3.4,1.8,0.3,12,0,1,20,2,4,6,0,344,Estandar,1,7.0,6.0,0
PLZ-00041,México,23,Femenino,Gratuito,Escuela de Cloud Computing,Mobile,Freelance / proyectos propios,Universitario completo,7,3,Sin_suscripcion,-1.0,0,2022-11-23,14,4,0.24,0,0,1,0,0,0.12,0.48,0.04,0.18,0.05,0.04,0.48,0.37,0.3,0.37,33,34,2,15,0,0.0,0.0,0.0,0.0,0.0,-4.0,7,0,0,18,4,7,7,0,121,Estandar,0,0.0,8.0,0
PLZ-00042,Colombia,33,Masculino,Expert,Escuela de Gestion y Liderazgo,Desktop,Conseguir empleo tech,Universitario en curso,7,6,Anual,74.0,0,2023-07-31,17,8,0.18,1,0,1,0,0,0.31,0.01,0.2,0.32,0.29,0.15,0.35,0.17,0.4,0.26,17,23,10,30,2,0.5,0.3,0.4,0.3,0.3,1.7,57,0,2,17,1,4,11,0,212,Estandar,1,3.0,3.0,0
PLZ-00043,México,33,Femenino,Expert Family,Escuela de Marketing Digital,Desktop,Freelance / proyectos propios,Universitario completo,10,20,Anual,354.0,2,2024-07-09,107,29,0.33,9,8,1,0,0,0.28,0.16,0.26,0.42,0.22,0.57,0.25,0.05,0.15,0.09,1,6,27,169,21,5.2,5.6,6.6,6.5,4.2,1.9,13,13,4,21,1,7,23,0,609,Estandar,0,0.0,9.0,1
PLZ-00044,Ecuador,25,Femenino,Expert,Escuela de Desarrollo Web,Mobile,Ascender en trabajo actual,Tecnico,5,7,Cuotas x4,175.0,0,2023-10-21,14,12,0.39,4,3,1,0,0,0.31,0.34,0.12,0.31,0.17,0.23,0.11,0.23,0.43,0.22,21,24,13,69,27,6.8,5.3,10.0,8.8,6.3,-2.1,15,0,1,14,1,6,7,0,434,Estandar,0,0.0,9.0,0
PLZ-00045,México,34,Masculino,Expert Family,Escuela de Programacion y Software,Mobile,Ascender en trabajo actual,Universitario en curso,0,48,Anual,14.0,0,2023-06-21,6,17,0.48,8,6,3,1,1,0.56,0.2,0.02,0.1,0.14,0.18,0.21,0.43,0.18,0.03,12,22,20,102,15,3.8,3.8,4.7,3.1,2.4,3.1,18,0,1,22,4,5,16,0,1724,Pro,0,0.0,9.0,0
PLZ-00046,Argentina,23,Masculino,Expert Family,Escuela de Marketing Digital,Desktop,Conseguir empleo tech,Universitario completo,5,1,Anual,167.0,0,2023-01-15,16,24,0.48,11,10,0,0,0,0.03,0.3,0.27,0.06,0.2,0.22,0.07,0.24,0.03,0.24,5,8,21,141,12,3.0,3.2,3.2,4.2,2.5,5.6,27,0,4,17,2,3,9,1,367,Estandar,0,0.0,8.0,0
PLZ-00047,México,27,Femenino,Expert,Escuela de Publicidad Digital,Mobile,Ascender en trabajo actual,Universitario completo,5,16,Cuotas x4,55.0,0,2024-04-29,32,7,0.19,1,0,3,0,0,0.26,0.48,0.09,0.14,0.25,0.22,0.31,0.16,0.03,0.4,21,21,9,32,26,6.5,3.5,8.7,8.2,7.8,1.1,21,0,2,19,2,3,2,0,364,Estandar,3,2.1,,0
PLZ-00048,Colombia,30,Femenino,Expert,Escuela de Diseno Grafico,Mobile,Freelance / proyectos propios,Universitario completo,7,13,Anual,26.0,0,2022-05-06,17,10,0.22,2,1,2,0,0,0.14,0.62,0.39,0.09,0.07,0.15,0.24,0.17,0.32,0.05,20,20,11,34,2,0.5,0.4,0.4,0.3,0.7,2.1,4,0,4,17,1,5,6,0,531,Estandar,4,2.8,6.0,1
PLZ-00049,Colombia,31,Masculino,Gratuito,Escuela de Programacion y Software,Desktop,Conseguir empleo tech,Universitario completo,7,2,Sin_suscripcion,-1.0,0,2023-03-18,72,1,0.01,0,0,1,0,0,0.39,0.35,0.24,0.17,0.72,0.14,0.37,0.1,0.15,0.15,13,22,1,3,3,0.8,0.9,0.6,0.8,0.5,0.0,7,0,0,13,4,4,2,0,69,Estandar,0,0.0,6.0,0
PLZ-00050,México,30,Masculino,Basic,Escuela de Desarrollo Web,Desktop,Emprender startup,Universitario completo,2,2,Mensual,13.0,0,2024-04-08,20,1,0.29,0,0,1,0,0,0.09,0.12,0.45,0.25,0.45,0.07,0.15,0.24,0.16,0.08,51,53,1,2,1,0.2,0.0,0.0,0.0,0.0,-5.0,10,0,0,12,3,7,11,0,116,Estandar,2,6.0,9.0,1
PLZ-00051,Guatemala,25,Femenino,Expert,Escuela de Ingles,Tablet,Conseguir empleo tech,Universitario completo,3,1,Anual,38.0,0,2022-02-13,17,14,0.1,1,0,0,0,0,0.09,0.05,0.3,0.39,0.74,0.07,0.59,0.08,0.37,0.1,0,1,8,35,15,3.8,3.3,5.6,4.5,4.8,2.4,14,3,8,17,2,4,11,0,84,Estandar,1,2.4,,0
PLZ-00052,Perú,33,Femenino,Expert,Escuela de Marketing Digital,Desktop,Conseguir empleo tech,Universitario en curso,0,15,Cuotas x4,336.0,0,2023-10-23,86,10,0.42,4,3,3,1,1,0.33,0.03,0.36,0.09,0.02,0.24,0.22,0.49,0.02,0.12,0,12,9,82,27,6.8,8.1,7.1,6.2,6.5,1.0,9,5,4,21,4,4,2,0,1117,Estandar,2,6.5,0.0,0
PLZ-00053,Bolivia,26,Masculino,Expert,Escuela de Marketing Digital,Mobile,Freelance / proyectos propios,Tecnico,3,22,Anual,12.0,0,2022-07-18,0,11,0.32,3,2,1,0,0,0.24,0.18,0.45,0.13,0.34,0.04,0.09,0.02,0.14,0.28,0,6,9,49,17,4.2,4.3,6.3,6.1,2.9,5.0,42,7,5,21,4,6,6,0,639,Estandar,1,5.3,6.0,1
PLZ-00054,Ecuador,23,Masculino,Expert,Escuela de Desarrollo Web,Mobile,Aprender por curiosidad,Universitario en curso,2,1,Cuotas x4,105.0,0,2023-10-15,15,8,0.19,1,0,1,0,0,0.07,0.2,0.1,0.45,0.11,0.42,0.12,0.39,0.35,0.21,3,14,7,17,17,4.2,2.7,5.5,4.8,3.3,-0.2,16,0,2,22,4,4,3,0,74,Estandar,1,1.0,9.0,1
PLZ-00055,Argentina,23,Femenino,Gratuito,Escuela de Data Science e Inteligencia Artificial,Mobile,Cambiar de carrera,Tecnico,10,1,Sin_suscripcion,-1.0,0,2022-11-04,10,3,0.18,0,0,5,0,0,0.42,0.21,0.12,0.03,0.06,0.49,0.02,0.11,0.17,0.33,10,10,2,14,8,2.0,1.7,2.4,1.6,1.7,0.5,26,0,0,9,9,7,12,0,106,Estandar,0,0.0,10.0,0
PLZ-00056,España,38,Femenino,Expert Duo,Escuela de Cloud Computing,Mobile,Aprender por curiosidad,Universitario en curso,7,3,Anual,364.0,1,2025-01-17,7,18,0.64,11,10,0,0,0,0.66,0.08,0.26,0.09,0.06,0.2,0.09,0.37,0.13,0.27,9,19,17,136,13,3.2,2.9,4.0,1.9,3.5,-3.9,17,0,4,16,2,8,20,0,441,Estandar,0,0.0,9.0,0
PLZ-00057,México,22,No especifica,Basic,Escuela de Marketing Digital,Desktop,Conseguir empleo tech,Universitario en curso,5,3,Mensual,6.0,0,2025-04-12,23,2,0.32,0,0,1,0,0,0.13,0.37,0.47,0.27,0.27,0.13,0.66,0.06,0.32,0.34,14,26,5,8,8,2.0,2.8,2.1,2.5,2.9,0.4,5,0,4,19,3,3,11,0,130,Estandar,2,4.7,9.0,1
PLZ-00058,México,34,Femenino,Gratuito,Escuela de Data Science e Inteligencia Artificial,Desktop,Cambiar de carrera,Universitario completo,0,3,Sin_suscripcion,-1.0,0,2023-04-19,17,2,0.01,0,0,1,0,0,0.05,0.37,0.14,0.42,0.13,0.43,0.05,0.22,0.32,0.44,14,14,1,9,9,2.2,3.1,1.6,3.3,2.5,-1.2,29,0,0,17,4,9,19,0,144,Estandar,2,2.3,0.0,0
PLZ-00059,México,20,No especifica,Expert Duo,Escuela de Data Science e Inteligencia Artificial,Mobile,Emprender startup,Universitario en curso,2,19,Anual,192.0,2,2022-08-24,0,16,0.4,6,5,0,0,0,0.3,0.2,0.06,0.34,0.15,0.36,0.35,0.11,0.41,0.14,5,18,10,113,18,4.5,4.4,6.7,4.3,6.5,4.0,2,0,1,21,4,5,9,0,626,Estandar,1,4.0,9.0,1
PLZ-00060,México,29,Masculino,Basic,Escuela de E-commerce y Negocios Digitales,Desktop,Conseguir empleo tech,Universitario completo,3,1,Mensual,12.0,2,2022-08-13,33,1,0.47,0,0,2,0,0,0.22,0.12,0.19,0.17,0.19,0.24,0.04,0.52,0.23,0.21,24,30,9,4,4,1.0,1.1,1.5,1.0,1.3,2.4,2,0,3,14,3,3,11,0,53,Estandar,0,0.0,7.0,1
PLZ-00061,Colombia,28,Femenino,Expert,Escuela de Videojuegos,Mobile,Ascender en trabajo actual,Universitario completo,0,1,Anual,139.0,0,2022-12-26,14,9,0.38,3,2,0,0,0,0.31,0.31,0.04,0.39,0.42,0.17,0.02,0.29,0.19,0.39,15,20,8,63,12,3.0,3.3,3.3,2.4,1.6,2.0,17,0,4,18,4,6,9,0,135,Estandar,0,0.0,10.0,0
